Modelo Logit (chronic_absence ~ absent_lag1 + absent_lag2 + weekday dummies)

      param      coef  se_cluster          z            p       OR    OR_lo    OR_hi
      const -1.783317    0.052515 -33.958483 0.000000e+00 0.168080 0.151640 0.186302
absent_lag1  1.575506    0.030316  51.969238 0.000000e+00 4.833184 4.554364 5.129074
absent_lag2  1.703352    0.034038  50.042893 0.000000e+00 5.492327 5.137866 5.871242
       wd_1 -0.192252    0.045525  -4.222956 2.411186e-05 0.825099 0.754665 0.902107
       wd_2 -0.092303    0.054955  -1.679593 9.303655e-02 0.911829 0.818718 1.015529
       wd_3  0.055119    0.059671   0.923709 3.556381e-01 1.056666 0.940036 1.187766
       wd_4  0.162815    0.058542   2.781193 5.415947e-03 1.176819 1.049248 1.319901
       wd_5  0.390984    0.054055   7.233036 4.722889e-13 1.478435 1.329810 1.643672
       wd_6  0.183556    0.040179   4.568442 4.913625e-06 1.201482 1.110494 1.299925
